Social Platform,Social URL
linkedin,https://www.linkedin.com/company/tretton37
facebook,https://www.facebook.com/tretton37ab
twitter,https://twitter.com/tretton37
youtube,https://www.youtube.com/channel/UCyDoSePfYWLL4re0Dr5fRMw
github,https://github.com/tretton37
instagram,https://instagram.com/tretton37ab
flickr,https://www.flickr.com/photos/tretton37/albums
